EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
RM297,18,18-25,1,3,230,1,3,3,1,1,405,3,1,54,3,1,2,3,2,1420,Upto 5k,25233,1,Y,0,13,3,3,80,0,0,2,3,0,0,0,0.0
RM302,18,18-25,0,3,812,2,10,3,3,1,411,4,0,69,2,1,8,3,2,1200,Upto 5k,9724,1,Y,0,12,3,1,80,0,0,2,3,0,0,0,0.0
RM458,18,18-25,1,2,1306,2,5,3,2,1,614,2,1,69,3,1,8,2,2,1878,Upto 5k,8059,1,Y,1,14,3,4,80,0,0,3,3,0,0,0,0.0
RM728,18,18-25,0,0,287,1,5,2,1,1,1012,2,1,73,3,1,6,4,2,1051,Upto 5k,13493,1,Y,0,15,3,4,80,0,0,2,3,0,0,0,0.0
RM829,18,18-25,1,0,247,1,8,1,3,1,1156,3,1,80,3,1,2,3,2,1904,Upto 5k,13556,1,Y,0,12,3,4,80,0,0,0,3,0,0,0,0.0
RM973,18,18-25,0,0,1124,1,1,3,1,1,1368,4,0,97,3,1,2,4,2,1611,Upto 5k,19305,1,Y,0,15,3,3,80,0,0,5,4,0,0,0,0.0
RM1154,18,18-25,1,2,544,2,3,2,3,1,1624,2,0,70,3,1,8,4,2,1569,Upto 5k,18420,1,Y,1,12,3,3,80,0,0,2,4,0,0,0,0.0
RM1312,18,18-25,0,0,1431,1,14,3,3,1,1839,2,0,33,3,1,6,3,2,1514,Upto 5k,8018,1,Y,0,16,3,3,80,0,0,4,1,0,0,0,0.0
RM128,19,18-25,1,3,528,2,22,1,2,1,167,4,1,50,3,1,8,3,2,1675,Upto 5k,26820,1,Y,1,19,3,4,80,0,0,2,2,0,0,0,0.0
RM150,19,18-25,0,3,1181,1,3,1,3,1,201,2,0,79,3,1,2,2,2,1483,Upto 5k,16102,1,Y,0,14,3,4,80,0,1,3,3,1,0,0,0.0
RM172,19,18-25,1,2,602,2,1,1,5,1,235,3,0,100,1,1,8,1,2,2325,Upto 5k,20989,0,Y,0,21,4,1,80,0,1,5,4,0,0,0,0.0
RM178,19,18-25,1,3,303,1,2,3,1,1,243,2,1,47,2,1,2,4,2,1102,Upto 5k,9241,1,Y,0,22,4,3,80,0,1,3,2,1,0,1,0.0
RM423,19,18-25,1,3,489,0,2,2,5,1,566,1,1,52,2,1,1,4,2,2564,Upto 5k,18437,1,Y,0,12,3,3,80,0,1,3,4,1,0,0,0.0
RM689,19,18-25,1,3,419,2,21,3,4,1,959,4,1,37,2,1,8,2,2,2121,Upto 5k,9947,1,Y,1,13,3,2,80,0,1,3,4,1,0,0,0.0
RM854,19,18-25,0,3,645,1,9,2,1,1,1193,3,1,54,3,1,6,1,2,2552,Upto 5k,7172,1,Y,0,25,4,3,80,0,1,4,3,1,1,0,0.0
RM893,19,18-25,1,0,504,1,10,3,3,1,1248,1,0,96,2,1,6,2,2,1859,Upto 5k,6148,1,Y,1,25,4,2,80,0,1,2,4,1,1,0,0.0
RM910,19,18-25,0,3,265,1,25,3,1,1,1269,2,0,57,4,1,6,4,2,2994,Upto 5k,21221,1,Y,1,12,3,4,80,0,1,2,3,1,0,0,1.0
RM103,20,18-25,1,2,871,1,6,3,1,1,137,4,0,66,2,1,2,4,2,2926,Upto 5k,19783,1,Y,1,18,3,2,80,0,1,5,3,1,0,1,0.0
RM488,20,18-25,0,3,959,1,1,3,1,1,657,4,0,83,2,1,6,2,2,2836,Upto 5k,11757,1,Y,0,13,3,4,80,0,1,0,4,1,0,0,0.0
RM514,20,18-25,1,3,1362,1,10,1,3,1,701,4,1,32,3,1,6,3,2,1009,Upto 5k,26999,1,Y,1,11,3,4,80,0,1,5,3,1,0,1,1.0
RM663,20,18-25,1,3,500,2,2,3,3,1,922,3,0,49,2,1,8,3,2,2044,Upto 5k,22052,1,Y,0,13,3,4,80,0,2,3,2,2,2,0,2.0
RM690,20,18-25,1,3,129,1,4,3,5,1,960,1,1,84,3,1,2,1,2,2973,Upto 5k,13008,1,Y,0,19,3,2,80,0,1,2,3,1,0,0,0.0
RM732,20,18-25,1,3,1097,1,11,3,3,1,1016,4,0,98,2,1,6,1,2,2600,Upto 5k,18275,1,Y,1,15,3,1,80,0,1,2,3,1,0,0,0.0
RM777,20,18-25,1,2,769,2,9,3,2,1,1077,4,0,54,3,1,8,4,2,2323,Upto 5k,17205,1,Y,1,14,3,2,80,0,2,3,3,2,2,0,2.0
RM857,20,18-25,0,3,805,1,3,3,1,1,1198,1,1,87,2,1,2,3,2,3033,Upto 5k,12828,1,Y,0,12,3,1,80,0,2,2,2,2,2,1,2.0
RM877,20,18-25,0,3,654,2,21,3,2,1,1226,3,1,43,4,1,8,4,2,2678,Upto 5k,5050,1,Y,0,17,3,4,80,0,2,2,3,2,1,2,2.0
RM1179,20,18-25,0,3,1141,2,2,3,3,1,1657,3,0,31,3,1,8,3,2,2783,Upto 5k,13251,1,Y,0,19,3,1,80,0,2,3,3,2,2,2,2.0
RM1198,20,18-25,0,3,727,2,9,1,1,1,1680,4,1,54,3,1,8,1,2,2728,Upto 5k,21082,1,Y,0,11,3,1,80,0,2,3,3,2,2,0,2.0
RM024,21,18-25,0,3,391,1,15,2,1,1,30,3,1,96,3,1,6,4,2,1232,Upto 5k,19281,1,Y,0,14,3,4,80,0,0,6,3,0,0,0,
RM275,21,18-25,0,3,996,1,3,2,3,1,379,4,1,100,2,1,6,3,2,3230,Upto 5k,10531,1,Y,0,17,3,1,80,0,3,4,4,3,2,1,0.0
RM358,21,18-25,1,2,756,2,1,1,5,1,478,1,0,99,2,1,8,2,2,2174,Upto 5k,9150,1,Y,1,11,3,3,80,0,3,3,3,3,2,1,2.0
RM363,21,18-25,0,0,895,2,9,2,3,1,484,1,1,39,3,1,8,4,2,2610,Upto 5k,2851,1,Y,0,24,4,3,80,0,3,3,2,3,2,2,
RM371,21,18-25,1,3,156,2,12,3,1,1,494,3,0,90,4,1,8,2,2,2716,Upto 5k,25422,1,Y,0,15,3,4,80,0,1,0,3,1,0,0,0.0
RM497,21,18-25,0,3,1343,2,22,1,5,1,669,3,1,49,3,1,8,3,2,3447,Upto 5k,24444,1,Y,0,11,3,3,80,0,3,2,3,3,2,1,2.0
RM664,21,18-25,1,3,1427,1,18,1,4,1,923,4,0,65,3,1,6,4,2,2693,Upto 5k,8870,1,Y,0,19,3,1,80,0,1,3,2,1,0,0,0.0
RM778,21,18-25,1,3,1334,1,10,3,1,1,1079,3,0,36,2,1,2,1,2,1416,Upto 5k,17258,1,Y,0,13,3,1,80,0,1,6,2,1,0,1,0.0
RM816,21,18-25,0,3,984,1,1,1,5,1,1131,4,0,70,2,1,6,2,2,2070,Upto 5k,25326,1,Y,1,11,3,3,80,0,2,6,4,2,2,2,2.0
RM916,21,18-25,1,2,251,1,10,2,1,1,1279,1,0,45,2,1,2,3,2,2625,Upto 5k,25308,1,Y,0,20,4,3,80,0,2,2,1,2,2,2,2.0
RM1153,21,18-25,0,3,546,1,5,1,3,1,1623,3,1,97,3,1,6,4,2,3117,Upto 5k,26009,1,Y,0,18,3,3,80,0,3,2,3,2,2,2,2.0
RM1272,21,18-25,1,3,337,2,7,1,2,1,1780,2,1,31,3,1,8,2,2,2679,Upto 5k,4567,1,Y,0,13,3,2,80,0,1,3,3,1,0,1,0.0
RM1437,21,18-25,0,3,501,2,5,1,3,1,2021,3,1,58,3,1,8,1,2,2380,Upto 5k,25479,1,Y,1,11,3,4,80,0,2,6,3,2,2,1,2.0
RM018,22,18-25,0,0,1123,1,16,2,3,1,22,4,1,96,4,1,2,4,0,2935,Upto 5k,7324,1,Y,1,13,3,2,80,2,1,2,2,1,0,0,0.0
RM110,22,18-25,0,3,534,1,15,3,3,1,144,2,0,59,3,1,2,4,2,2871,Upto 5k,23785,1,Y,0,15,3,3,80,0,1,5,3,0,0,0,0.0
RM129,22,18-25,0,3,594,1,2,1,5,1,169,3,1,100,3,1,2,4,1,2523,Upto 5k,19299,0,Y,0,14,3,3,80,1,3,2,3,2,1,2,1.0
RM161,22,18-25,0,3,1256,1,19,1,3,1,217,3,1,80,3,1,6,4,1,2323,Upto 5k,11992,1,Y,0,24,4,1,80,2,2,6,3,2,2,2,2.0
RM207,22,18-25,0,3,1136,1,5,3,1,1,284,4,1,60,4,1,6,2,0,2328,Upto 5k,12392,1,Y,1,16,3,1,80,1,4,2,2,4,2,2,
RM384,22,18-25,0,3,253,1,11,3,3,1,511,1,0,43,3,1,6,2,1,2244,Upto 5k,24440,1,Y,0,13,3,4,80,1,2,1,3,2,1,1,2.0
RM444,22,18-25,1,2,1368,1,4,1,5,1,593,3,1,99,2,1,2,3,2,3894,Upto 5k,9129,5,Y,0,16,3,3,80,0,4,3,3,2,2,1,2.0
RM499,22,18-25,0,3,604,1,6,1,3,1,675,1,1,69,3,1,6,3,1,2773,Upto 5k,12145,0,Y,0,20,4,4,80,0,3,3,3,2,2,2,2.0
RM631,22,18-25,0,3,1230,1,1,2,1,1,872,4,1,33,2,2,4,4,1,4775,Upto 5k,19146,6,Y,0,22,4,1,80,2,4,2,1,2,2,2,2.0
RM667,22,18-25,1,3,617,1,3,1,1,1,926,2,0,34,3,2,4,3,1,4171,Upto 5k,10022,0,Y,1,19,3,1,80,1,4,3,4,3,2,0,2.0
RM735,22,18-25,0,3,217,1,8,1,1,1,1019,2,1,94,1,1,2,1,1,2451,Upto 5k,6881,1,Y,0,15,3,1,80,1,4,3,2,4,3,1,1.0
RM861,22,18-25,1,2,1256,1,3,4,1,1,1203,3,1,48,2,1,6,4,1,2853,Upto 5k,4223,0,Y,1,11,3,2,80,1,1,5,3,0,0,0,0.0
RM1138,22,18-25,0,0,457,1,26,2,4,1,1605,2,0,85,2,1,6,3,1,2814,Upto 5k,10293,1,Y,1,14,3,2,80,0,4,2,2,4,2,1,3.0
RM1274,22,18-25,1,3,1294,1,8,1,3,1,1783,3,0,79,3,1,2,1,1,2398,Upto 5k,15999,1,Y,1,17,3,3,80,0,1,6,3,1,0,0,0.0
RM1340,22,18-25,1,3,391,1,7,1,1,1,1878,4,1,75,3,1,6,2,2,2472,Upto 5k,26092,1,Y,1,23,4,1,80,0,1,2,3,1,0,0,0.0
RM1424,22,18-25,0,3,581,1,1,2,1,1,2007,4,1,63,3,1,6,3,2,3375,Upto 5k,17624,0,Y,0,12,3,4,80,0,4,2,4,3,2,1,2.0
RM087,23,18-25,0,3,541,2,2,1,5,1,113,3,1,62,3,1,8,1,0,2322,Upto 5k,9518,3,Y,0,13,3,3,80,1,3,3,3,0,0,0,0.0
RM346,23,18-25,0,3,1309,1,26,1,1,1,465,3,1,83,3,1,6,4,0,2904,Upto 5k,16092,1,Y,0,12,3,3,80,2,4,2,2,4,2,0,2.0
RM517,23,18-25,0,3,885,1,4,3,3,1,705,1,1,58,4,1,6,1,1,2819,Upto 5k,8544,2,Y,0,16,3,1,80,1,5,3,4,3,2,0,2.0
